disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,id,hash,lastRefresh
4668,2022-09-02T00:00:00.000Z,SEVERE STORMS,2022-07-17T00:00:00.000Z,2022-07-18T00:00:00.000Z,Major Disaster,AZ,Arizona,Severe Storm,2022-09-02T00:00:00.000Z,2022-09-02T00:00:00.000Z,,9,1,0,1,1,639023f0-9db8-4939-9a2e-406477013bb9,c8705ebe66e09fc4445c0e7a719e8101373746d1,2023-03-18T13:22:06.532Z
3582,2022-08-30T00:00:00.000Z,WATER CRISIS,2022-08-30T00:00:00.000Z,,Emergency,MS,Mississippi,Other,2022-08-31T00:00:00.000Z,2022-08-31T00:00:00.000Z,,4,0,0,1,0,3ae71c7a-c5e4-4fd1-b9e7-a7f04a0fc619,18753b303bd260d6265d3c908b4b295e6cfd0e2a,2023-03-18T13:22:06.532Z
4667,2022-08-26T00:00:00.000Z,FLOODING,2022-05-08T00:00:00.000Z,2022-05-11T00:00:00.000Z,Major Disaster,AK,Alaska,Flood,2022-08-26T00:00:00.000Z,2022-08-26T00:00:00.000Z,,10,0,0,1,1,45659351-8cdc-45bc-991e-49de91d67f90,83e4837ed0c750ee2af33b48eaf4b07ef927bb71,2023-03-18T13:22:06.532Z
5449,2022-08-19T00:00:00.000Z,FOUR CORNERS FIRE,2022-08-18T00:00:00.000Z,,Fire Management,ID,Idaho,Fire,2022-08-19T00:00:00.000Z,2022-08-19T00:00:00.000Z,,10,0,0,1,1,97d1acbf-ee77-4967-a722-5633f28e3ecc,3a7c5f361817709eb9f3fab10e3b2bf5df9b16ed,2023-03-18T13:22:06.532Z
5448,2022-08-14T00:00:00.000Z,JOY LAKE FIRE,2022-08-14T00:00:00.000Z,,Fire Management,NV,Nevada,Fire,2022-08-15T00:00:00.000Z,2022-08-15T00:00:00.000Z,,9,0,0,1,1,983d48b2-70bd-4824-8986-43c4a8882bd1,fc629fd5b71ae644e88c82ec481403736b0a8ccd,2023-03-18T13:22:06.532Z
4666,2022-08-09T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",2022-05-29T00:00:00.000Z,2022-05-30T00:00:00.000Z,Major Disaster,MN,Minnesota,Severe Storm,2022-08-09T00:00:00.000Z,2022-08-09T00:00:00.000Z,,5,0,0,1,1,799676bf-4855-4954-aff6-38b487e83672,0626e8db29b69a8e9058ab29ce3ddaff2203d2c1,2023-03-18T13:22:06.532Z
4665,2022-08-08T00:00:00.000Z,SEVERE STORMS AND FLOODING,2022-07-25T00:00:00.000Z,2022-07-28T00:00:00.000Z,Major Disaster,MO,Missouri,Flood,2022-08-08T00:00:00.000Z,2022-08-08T00:00:00.000Z,,7,1,0,1,1,c4f62dc9-4ff0-4c21-ab82-9526264c2fb3,fb3ff81d15df3beda6f9fc1d5b8af1c474a74c79,2023-03-18T13:22:06.532Z
5447,2022-08-04T00:00:00.000Z,LIND FIRE,2022-08-04T00:00:00.000Z,,Fire Management,WA,Washington,Fire,2022-08-05T00:00:00.000Z,2022-08-05T00:00:00.000Z,,10,0,0,1,1,4825fd18-a9d2-476c-9f93-d4bf3bafb6f3,5c5626dd469854e5a75cf2ec5115aebbb1b6424a,2023-03-18T13:22:06.532Z
5446,2022-08-03T00:00:00.000Z,MILLER ROAD FIRE,2022-08-02T00:00:00.000Z,,Fire Management,OR,Oregon,Fire,2022-08-04T00:00:00.000Z,2022-08-04T00:00:00.000Z,,10,0,0,1,1,f060718c-a4c2-425a-9bae-75ca90c0d03c,51186516f5f1479a5f3419a698b2e9ee7a2bab8d,2023-03-18T13:22:06.532Z
4664,2022-08-02T00:00:00.000Z,"SEVERE STORM, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",2022-06-11T00:00:00.000Z,2022-06-14T00:00:00.000Z,Major Disaster,SD,South Dakota,Severe Storm,2022-08-02T00:00:00.000Z,2022-08-02T00:00:00.000Z,,8,0,0,1,1,b096f660-a139-4ec9-8940-c5ae28ae2bd5,764632a2eaa5e06ec3046bc6c2e610e690692b3a,2023-03-18T13:22:06.532Z
4663,2022-07-29T00:00:00.000Z,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-07-26T00:00:00.000Z,2022-08-11T00:00:00.000Z,Major Disaster,KY,Kentucky,Flood,2022-07-29T00:00:00.000Z,2022-09-01T00:00:00.000Z,,4,1,0,1,1,bf573996-c945-4a98-81e5-4f193d1b60c7,2e9cd48b4c55d08d477de2acd44db68e3f5f75a0,2023-03-18T13:22:06.532Z
4662,2022-07-27T00:00:00.000Z,SEVERE STORMS AND STRAIGHT-LINE WINDS,2022-05-12T00:00:00.000Z,2022-05-12T00:00:00.000Z,Major Disaster,NE,Nebraska,Severe Storm,2022-07-27T00:00:00.000Z,2022-07-27T00:00:00.000Z,,7,0,0,1,1,8c154c18-6170-4817-b2d8-249761e9f9a8,c76d9c1f0060ec1021770a175aab9f6ffd50fc34,2023-03-18T13:22:06.532Z
4661,2022-07-26T00:00:00.000Z,LANDSLIDE,2022-05-07T00:00:00.000Z,2022-05-07T00:00:00.000Z,Major Disaster,AK,Alaska,Mud/Landslide,2022-07-26T00:00:00.000Z,2022-07-26T00:00:00.000Z,,10,0,0,1,1,8e34ecfa-45b3-401e-83d6-a4e365d0b752,52ce4a856e855d64d4b6fd587667a57f7f04a1db,2023-03-18T13:22:06.532Z
3581,2022-07-25T00:00:00.000Z,WATER SHORTAGE AND HEALTH IMPACT FROM UNPRECEDENTED SARGASSUM SEAGRASS INFLUX,2022-07-15T00:00:00.000Z,2022-10-13T00:00:00.000Z,Emergency,VI,Virgin Islands of the U.S.,Other,2022-07-25T00:00:00.000Z,2022-10-31T00:00:00.000Z,,2,0,0,1,0,29c5f1ba-3f0b-4df2-adcd-ff92968a82e0,514cd4882926e6e2f219f71f15ad2deaf4ed9dbc,2023-03-18T13:22:06.532Z
5444,2022-07-19T00:00:00.000Z,CHALK MOUNTAIN FIRE,2022-07-18T00:00:00.000Z,2022-08-06T00:00:00.000Z,Fire Management,TX,Texas,Fire,2022-07-20T00:00:00.000Z,2023-02-17T00:00:00.000Z,,6,0,0,1,1,0a3f6350-396d-4d5f-a73a-75d5ad9618dd,70ecdaffdaae2cc3c56d23b0334331abbbd7b3fd,2023-03-18T13:22:06.532Z
4659,2022-07-13T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2022-04-22T00:00:00.000Z,2022-06-15T00:00:00.000Z,Major Disaster,MN,Minnesota,Flood,2022-07-14T00:00:00.000Z,2022-07-14T00:00:00.000Z,,5,0,0,1,1,d3bccbf8-6f35-427b-a6e2-153900f06d5d,9721d8a3e7356c6af51943d87d92c99cc862de53,2023-03-18T13:22:06.532Z
4660,2022-07-13T00:00:00.000Z,SEVERE WINTER STORM AND FLOODING,2022-04-22T00:00:00.000Z,2022-05-25T00:00:00.000Z,Major Disaster,ND,North Dakota,Severe Storm,2022-07-14T00:00:00.000Z,2022-07-14T00:00:00.000Z,,8,0,0,1,1,2569f647-771e-4469-a1ca-aa1ab20a7a76,614915b5b72ae13a5f9882e89be8cbbea98c4ef7,2023-03-18T13:22:06.532Z
4658,2022-07-08T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",2022-05-08T00:00:00.000Z,2022-05-13T00:00:00.000Z,Major Disaster,MN,Minnesota,Severe Storm,2022-07-08T00:00:00.000Z,2022-07-08T00:00:00.000Z,,5,0,0,1,1,281563bf-2c99-42a2-be75-6d307c8855ac,64796d662f98fb64c5139a6a9a4ddf31d0e98f9d,2023-03-18T13:22:06.532Z
5443,2022-07-07T00:00:00.000Z,HARD CASTLE FIRE,2022-07-07T00:00:00.000Z,2022-07-16T00:00:00.000Z,Fire Management,TX,Texas,Fire,2022-07-08T00:00:00.000Z,2022-08-30T00:00:00.000Z,,6,0,0,1,1,2d9aed79-3c59-4b8c-bed5-b78a41a85904,cfe47147e92f41d0eb5bd44782bbbc473dd335df,2023-03-18T13:22:06.532Z
4657,2022-06-29T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",2022-05-02T00:00:00.000Z,2022-05-08T00:00:00.000Z,Major Disaster,OK,Oklahoma,Severe Storm,2022-06-30T00:00:00.000Z,2022-07-07T00:00:00.000Z,,6,1,0,0,1,abb8081c-27be-4bf8-8dbe-98634399b68c,aa17185f11fcabab6c27aa7f149f91740a9cef0b,2023-03-18T13:22:06.532Z
